Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,1.579447078704834,37.8125,2.3636916637420655,21.0
2,1.1975785970687867,53.4375,2.150641746520996,26.25
3,1.066174280643463,57.5,1.97958384513855,30.5
4,1.1521106243133545,56.875,1.835015926361084,34.5
5,0.9361201167106629,65.0,1.7554033279418946,37.5
6,0.9337949633598328,66.875,1.6775755405426025,37.5
7,0.8235898852348328,65.625,1.6133661651611328,39.0
8,0.846386170387268,66.875,1.5854280090332031,39.5
9,0.8978641867637634,64.0625,1.5652458381652832,37.75
10,0.8765716552734375,65.3125,1.549315137863159,40.75
11,0.8522250294685364,67.1875,1.524719409942627,39.75
12,0.7654501676559449,68.4375,1.5088589763641358,39.5
13,0.7557233214378357,69.6875,1.501548728942871,40.75
14,0.7382832288742065,72.8125,1.476884002685547,41.25
15,0.771892249584198,72.5,1.4750901126861573,41.0
16,0.7514299869537353,67.1875,1.4483404350280762,43.0
17,0.7040565609931946,71.5625,1.4405953454971314,42.75
18,0.7423022985458374,70.0,1.4564092206954955,43.25
19,0.722937285900116,73.75,1.4389621353149413,44.0
20,0.694682502746582,74.0625,1.4348504877090453,44.0
21,0.671491950750351,75.3125,1.4140696668624877,44.25
22,0.6544034361839295,73.75,1.415808310508728,46.25
23,0.6491425633430481,77.5,1.3926528453826905,47.25
24,0.6109298527240753,77.5,1.3925654649734498,45.5
25,0.6336592912673951,73.75,1.3965403413772584,46.5
26,0.6104293763637543,76.5625,1.380277442932129,47.0
27,0.5973768591880798,76.875,1.3804389142990112,46.25
28,0.6471426129341126,74.6875,1.3781596279144288,48.0
29,0.6873422145843506,73.125,1.3653960371017455,47.5
30,0.5963590145111084,76.5625,1.3611271953582764,47.25
31,0.6517107129096985,75.625,1.3506940507888794,48.75
32,0.656496524810791,75.625,1.3536097860336305,48.75
33,0.6026060521602631,76.25,1.3384738636016846,48.25
34,0.6267438650131225,74.6875,1.3493252182006836,48.75
35,0.6091556787490845,76.5625,1.327765817642212,46.25
36,0.6829908967018128,73.75,1.3292853355407714,47.0
37,0.5721131920814514,76.5625,1.3300730419158935,46.25
38,0.5911052882671356,75.3125,1.3226365184783935,47.0
39,0.6616732954978943,76.5625,1.3226777124404907,47.0
40,0.5533209919929505,79.0625,1.3104015111923217,48.25
41,0.50745929479599,78.75,1.312031488418579,48.25
42,0.5645194888114929,77.5,1.3010144710540772,47.5
43,0.6626331329345703,75.3125,1.2947937488555907,48.5
44,0.5679298877716065,78.125,1.293553853034973,48.5
45,0.5754378378391266,77.5,1.2897637319564819,49.5
46,0.5909059286117554,74.6875,1.2750293254852294,48.0
47,0.5909929633140564,74.0625,1.2785138416290283,47.5
48,0.5456770360469818,78.4375,1.2734594774246215,47.75
49,0.6338990449905395,74.375,1.2778394174575807,47.75
50,0.6111834108829498,74.6875,1.2628280067443847,47.0
51,0.5658413767814636,76.875,1.2598436737060548,49.75
52,0.630198311805725,74.375,1.2588280057907104,47.25
53,0.642246949672699,74.375,1.2586268854141236,47.75
54,0.5770197093486786,75.3125,1.2534465312957763,48.5
55,0.5259516894817352,77.1875,1.2532065868377686,49.0
56,0.5485587775707245,81.5625,1.234482035636902,49.5
57,0.5123078286647796,77.8125,1.243269486427307,49.0
58,0.5851859331130982,79.0625,1.2316308784484864,49.25
59,0.5552709996700287,77.5,1.2280939817428589,49.0
60,0.5161006450653076,78.125,1.227699179649353,48.25
61,0.5322822093963623,77.8125,1.2274907541275024,48.25
62,0.555371242761612,78.125,1.220017762184143,49.0
63,0.5904914617538453,76.875,1.2220195484161378,50.25
64,0.5297176480293274,80.3125,1.2236761617660523,47.75
65,0.6029484987258911,74.375,1.2183176803588867,48.25
66,0.5513031542301178,77.8125,1.2126911544799805,50.75
67,0.565312671661377,75.625,1.220799207687378,48.5
68,0.6142571806907654,75.9375,1.214454746246338,48.25
69,0.5396525681018829,79.375,1.2070812559127808,48.25
70,0.5952217102050781,75.625,1.2162184810638428,47.0
71,0.5439469039440155,79.6875,1.215381259918213,48.5
72,0.6174244403839111,74.375,1.2059423732757568,47.25
73,0.5902531266212463,75.625,1.2091074991226196,48.5
74,0.5317267060279847,78.4375,1.2154023027420044,48.25
75,0.539411187171936,77.5,1.2099922466278077,48.25
76,0.5707772135734558,77.5,1.1947132205963136,48.5
77,0.44380377531051635,80.3125,1.2058904027938844,48.25
78,0.5092670679092407,79.6875,1.1995405817031861,47.75
79,0.5143175244331359,77.8125,1.196254096031189,48.5
80,0.5194729864597321,80.0,1.190507984161377,48.75
81,0.51373690366745,77.5,1.199988169670105,48.75
82,0.5339489579200745,77.1875,1.1882277584075929,49.0
83,0.5298310697078705,77.5,1.1923125886917114,48.5
84,0.5143481492996216,80.0,1.1968811416625977,47.75
85,0.49010273814201355,80.3125,1.1917939519882201,48.25
86,0.5266949355602264,77.1875,1.1809476566314698,49.0
87,0.5607756435871124,80.625,1.1954275465011597,48.5
88,0.5764301180839538,77.1875,1.1935219144821168,48.75
89,0.5302686631679535,78.75,1.1931004428863525,48.25
90,0.5456250071525574,79.0625,1.1922073984146118,48.5
91,0.5584622502326966,74.0625,1.1879884672164918,48.75
92,0.5654480636119843,77.1875,1.1833688116073608,48.5
93,0.5513865292072296,80.0,1.1801754140853882,49.25
94,0.5398840188980103,79.6875,1.1813876962661742,48.0
95,0.5136173844337464,80.625,1.176606869697571,48.5
96,0.4881271064281464,80.625,1.1708255481719971,48.75
97,0.480497270822525,80.3125,1.1792493104934691,47.0
98,0.5547483444213868,77.5,1.1856850051879884,48.0
99,0.6094502985477448,74.0625,1.1710564041137694,47.0
100,0.4852170407772064,82.8125,1.1839917373657227,48.0
